date,sex,age,abs,rate
2019-01-01,female,25-29,81876,142.2
2019-01-01,female,30-34,29638,110.7
2019-01-01,female,35-39,12736,73.2
2019-01-01,female,40-44,6308,55.1
2019-01-01,female,45-49,3800,33.1
2019-01-01,female,50-54,2480,16.5
2019-01-01,female,55-59,1309,8.0
2019-01-01,female,60-64,701,3.7
2019-01-01,female,65+,430,0.7
2019-01-01,male,all,203661,23.1
2019-01-01,male,< 20,2851,0.5
2019-01-01,male,20-24,34625,27.3
2019-01-01,male,25-29,85217,92.0
2019-01-01,male,30-34,41143,95.2
2019-01-01,male,35-39,17431,73.9
2019-01-01,male,40-44,8208,67.9
2019-01-01,male,45-49,4851,61.4
2019-01-01,male,50-54,3211,45.9
2019-01-01,male,55-59,2576,40.4
2019-01-01,male,60-64,1597,24.4
2019-01-01,male,65+,1951,9.2
2020-01-01,female,all,184589,22.1
2020-01-01,female,< 20,7907,1.6
2020-01-01,female,20-24,51825,52.4
2020-01-01,female,25-29,75019,131.6
2020-01-01,female,30-34,25433,95.0
2020-01-01,female,35-39,11116,62.4
2020-01-01,female,40-44,5438,46.6
2020-01-01,female,45-49,3277,28.6
2020-01-01,female,50-54,2140,14.1
2020-01-01,female,55-59,1294,7.7
2020-01-01,female,60-64,654,3.3
2020-01-01,female,65+,486,0.8
2020-01-01,male,all,184589,21.1
2020-01-01,male,< 20,2430,0.5
2020-01-01,male,20-24,33394,26.8
2020-01-01,male,25-29,79590,87.3
2020-01-01,male,30-34,35574,82.7
2020-01-01,male,35-39,14892,62.5
2020-01-01,male,40-44,6912,56.2
2020-01-01,male,45-49,3955,49.8
2020-01-01,male,50-54,2544,36.5
2020-01-01,male,55-59,2066,32.1
2020-01-01,male,60-64,1419,21.0
2020-01-01,male,65+,1813,8.1
2021-01-01,female,all,215973,25.5
2021-01-01,female,< 20,7797,1.5
2021-01-01,female,20-24,60087,59.7
2021-01-01,female,25-29,91355,157.5
2021-01-01,female,30-34,29935,109.8
2021-01-01,female,35-39,12689,70.0
2021-01-01,female,40-44,5968,50.2
2021-01-01,female,45-49,3616,31.0
2021-01-01,female,50-54,2052,13.3
2021-01-01,female,55-59,1271,7.5
2021-01-01,female,60-64,729,3.6
2021-01-01,female,65+,474,0.7
2021-01-01,male,all,215973,22.7
2021-01-01,male,< 20,2248,0.4
2021-01-01,male,20-24,39269,29.1
2021-01-01,male,25-29,95980,97.1
2021-01-01,male,30-34,42005,90.1
2021-01-01,male,35-39,16953,65.6
2021-01-01,male,40-44,7611,57.1
2021-01-01,male,45-49,4073,47.4
2021-01-01,male,50-54,2692,35.6
2021-01-01,male,55-59,1920,27.5
2021-01-01,male,60-64,1362,18.6
2021-01-01,male,65+,1860,7.7
2022-01-01,female,all,214824,25.5
2022-01-01,female,< 20,7104,1.4
2022-01-01,female,20-24,52995,52.8
2022-01-01,female,25-29,86754,150.0
2022-01-01,female,30-34,33896,124.7
2022-01-01,female,35-39,15254,84.3
2022-01-01,female,40-44,7753,65.4
2022-01-01,female,45-49,4761,40.9
2022-01-01,female,50-54,2871,18.7
2022-01-01,female,55-59,1785,10.5
2022-01-01,female,60-64,1018,5.1
2022-01-01,female,65+,633,1.0
2022-01-01,male,all,214824,22.7
2022-01-01,male,< 20,1945,0.3
2022-01-01,male,20-24,35456,26.4
2022-01-01,male,25-29,88437,89.9
2022-01-01,male,30-34,44374,95.7
2022-01-01,male,35-39,19423,75.6
2022-01-01,male,40-44,9544,71.9
2022-01-01,male,45-49,5417,63.3
2022-01-01,male,50-54,3430,45.6
2022-01-01,male,55-59,2625,37.8
2022-01-01,male,60-64,1834,25.1
2022-01-01,male,65+,2339,9.7
