timestamp,fenomena,penerangan
2022-07-29 00:00:00,Kemuncak Hujan Meteor Delta Aquarids,Hujan Meteor Delta Aquarids boleh dilihat mulai 12 Julai hingga 23 Ogos. Kemuncak Hujan Meteor Delta Aquarids dijangka berlaku pada awal pagi 29 Julai 2022 dengan purata 20 meteor per jam. Hujan Meteor Delta Aquarids merujuk kepada titik kemunculan hujan meteor di langit iaitu di kawasan buruj Aquarius, tetapi kemunculannya masih boleh berlaku dari pelbagai arah. Kenampakan hujan meteor tersebut adalah bagus kerana tiada gangguan bulan semasa kemuncak berlaku.
2022-07-29 01:54:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 01:54.
2022-08-05 19:06:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 19:06.
2022-08-12 09:35:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 09:35.
2022-08-13 00:00:00,Kemuncak Hujan Meteor Perseids,Hujan Meteor Perseids boleh dilihat mulai 17Julai hingga 24 Ogos. Kemuncak Hujan Meteor Perseids dijangka berlaku pada awal pagi 13 Ogos 2022 dengan purata 60 meteor per jam. Hujan Meteor Perseids merujuk kepada titik kemunculan hujan meteor di langit iaitu di kawasan buruj Perseus, tetapi kemunculannya masih boleh berlaku dari pelbagai arah. Kenampakan hujan meteor tersebut adalah kurang bagus kerana terdapat gangguan bulan hampir purnama semasa kemuncak berlaku.
2022-08-15 01:02:00,Oposisi Zuhal,Planet Zuhal akan berada pada kedudukan oposisi, iaitu kedudukan bertentangan dengan Matahari merujuk kepada Bumi. Semasa oposisi, Zuhal akan disinari sepenuhnya oleh Matahari dan boleh dilihat dengan lebih terang berbanding ketika ia berada pada kedudukan lain. Planet Zuhal akan kelihatan di langit malam sepanjang Ogos hingga Disember.
2022-08-19 12:36:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 12:36.
2022-08-27 16:17:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 16:17.
2022-08-27 19:15:00,Utarid Pada Elongasi Timur,Utarid berada pada Elongasi Paling Timur iaitu 27.3 darjah, Utarid boleh kelihatan di langit barat selepas Matahari terbenam. Planet Utarid akan terbenam pada jam 20:53 manakala Matahari akan terbenam pada jam 19:20
2022-09-04 02:07:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 02:07
2022-09-10 17:59:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 17:59
2022-09-18 05:52:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 05:52.
2022-09-23 09:03:00,Ekuinoks September,Matahari berada di atas garisan Khatulistiwa dan akan terbit tepat di timur dan terbenam tepat di barat. Bermulanya perubahan musim panas di hemisfera utara kepada musim luruh dan perubahan musim sejuk di hemisfera selatan kepada musim bunga.
2022-09-26 05:54:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 05:54
2022-09-27 03:17:00,Oposisi Musytari,Planet Musytari akan berada pada kedudukan oposisi, iaitu kedudukan bertentangan dengan Matahari merujuk kepada Bumi. Semasa oposisi, Musytari akan disinari sepenuhnya oleh cahaya Matahari dan boleh dilihat dengan lebih terang berbanding ketika ia berada pada kedudukan lain. Planet Musytari akan kelihatan di langit malam sepanjang Ogos hingga Disember.
2022-10-03 08:14:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 08:14
2022-10-09 06:58:00,Utarid Pada Elongasi Paling Barat,Utarid berada pada Elongasi Paling Barat iaitu 18 darjah dari Matahari, Utarid boleh kelihatan di langit timur sebelum Matahari terbit. Planet Utarid akan terbit pada jam 05:54 manakala Matahari akan terbit pada jam 06:58
2022-10-10 04:54:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 04:54
2022-10-18 01:15:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 01:15
2022-10-22 00:00:00,Kemuncak Hujan Meteor Orionids,Hujan Meteor Orionids boleh dilihat mulai 2 Oktober hingga 7 November. Kemuncak Pancuran Meteor Orionids berlaku pada malam antara 21 dan 22 Oktober 2021 dengan purata 20 meteor per jam. Kenampakan hujan meteor tersebut adalah agak bagus kerana hanya sedikit gangguan bulan sabit tua semasa kemuncak berlaku.
2022-10-25 16:58:00,Gerhana Matahari Separa,Gerhana Matahari Separa berlaku mulai jam 16:58 dan berakhir pada jam 21:02 waktu Malaysia. Fenomena tersebut tidak dapat dilihat di Malaysia tetapi boleh dilihat di sebahagian besar Eropah, bahagian utara Afrika, Timur Tengah dan Asia Barat. Liputan sebanyak 80% dapat dilihat dari bahagian tengah Rusia.
2022-10-25 18:48:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 18:48
2022-11-01 14:37:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 14:37
2022-11-08 19:00:00,Gerhana Bulan Penuh,Gerhana Bulan Penuh berlaku mulai jam 16:02 dan berakhir pada jam 21:56 waktu Malaysia dan dapat dilihat dari tenggara Eropah, Asia, Australia, Pasifik dan Amerika. Di Malaysia, fenomena tersebut tidak dapat kelihatan secara keseluruhan kerana fenomena ini mula berlaku semasa hari masih siang dan Bulan masih berada di bawah ufuk. Ia dapat dilihat apabila Bulan mulai terbit di ufuk timur, ketika fasa gerhana maksimum sehingga fasa gerhana penumbra berakhir pada jam 21:56.
2022-11-08 19:02:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 19:02
2022-11-16 21:27:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 21:27
2022-11-18 02:00:00,Kemuncak Hujan Meteor Leonids,Hujan Meteor Leonids boleh dilihat mulai 6 hingga 30 November. Kemuncak Hujan Meteor Leonids berlaku pada awal pagi 18 November 2022 dengan purata 10 meteor per jam dalam keadaan langit gelap. Kenampakan hujan meteor tersebut adalah kurang bagus kerana gangguan fasa bulan suku ketiga semasa kemuncak berlaku.
2022-11-24 06:57:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 06:57
2022-11-30 22:36:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 22:36
2022-12-08 12:09:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 12:09
2022-12-14 21:00:00,Kemuncak Meteor Geminids,Kemuncak Meteor Geminids berlaku pada 14 Disember 2022 jam 9 malam dengan ZHR=150. Prospek kurang bagus kerana cahaya Bulan akan mengganggu.
2022-12-16 16:59:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 16:59
2022-12-23 18:17:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 18:17
2022-12-30 09:22:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 09:22
2023-01-04 03:00:00,Hujan Meteor Quadrantids,Hujan Meteor Quadrantids boleh dilihat mulai 26 Disember hingga 16 Januari setiap tahun. Kemuncak Hujan Meteor Quadrantids dijangka berlaku pada awal pagi 4 Januari 2023 dengan purata 80 meteor per jam. Kenampakan hujan meteor tersebut adalah kurang bagus kerana terdapat gangguan bulan hampir purnama semasa kemuncak berlaku.
2023-01-04 03:36:00,Konjungsi Bulan dan Marikh,Bulan dan Marikh akan kelihatan menghampiri antara satu sama lain di langit dengan jarak sudut kelihatan Bulan dan Marikh dari Bumi adalah sejauh 0.5 darjah di langit barat.
2023-01-05 00:17:00,Bumi Pada Kedudukan Perihelion,Bumi berada pada jarak yang paling dekat dengan Matahari, iaitu sejauh 147,098,925 km.
2023-01-07 07:07:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 07:07.
2023-01-08 17:19:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 406,458 km.
2023-01-15 10:10:00,Buka Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 10:10
2023-01-22 04:53:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 04:53.
2023-01-22 04:56:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi, iaitu pada jarak 356,569 km.
2023-01-22 19:30:00,Konjungsi Zuhrah dan Zuhal,Konjungsi (Conjunction) merupakan fenomena nyata yang disebabkan oleh perspektif pemerhati dari Bumi iaitu dua objek cakerawala dilihat berdekatan jika dilihat dari Bumi, namun sebenarnya kedua-duanya adalah berjauhan dari satu sama lain di angkasa. Zuhrah dan Zuhal akan kelihatan menghampiri antara satu sama lain di langit dengan jarak sudut kelihatan Zuhrah dan Zuhal dari Bumi adalah sejauh 0.6 darjah di langit barat.
2023-01-28 23:18:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 23:18.
2023-01-30 18:00:00,Utarid Pada Elongasi Paling Barat,Utarid berada di posisi elongasi paling barat iaitu 25.0 darjah dari Matahari. Utarid boleh kelihatan di langit timur sebelum Matahari terbit.
2023-02-02 01:55:00,Komet C/2022 E3 (ZTF),Komet C/2022 E3 (ZTF) sedang menuju ke arah Bumi dan ia akan berada pada kedudukan paling hampir dengan Bumi sekitar jarak 0.28 AU pada 2 Februari 2023.
2023-02-04 16:54:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 406,476 km.
2023-02-06 02:28:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada 02:28.
2023-02-14 00:00:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 00:00.
2023-02-19 17:05:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi iaitu pada jarak 358,267 km.
2023-02-20 15:05:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada 15:05.
2023-02-27 16:05:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada 16:05.
2023-03-02 18:40:00,Konjungsi Zuhrah dan Musytari,Zuhrah dan Musytari akan kelihatan menghampiri antara satu sama lain di langit dengan jarak sudut kelihatan Zuhrah dan Musytari dari Bumi adalah sejauh 0.5 darjah (32 arka minit) di langit barat.
2023-03-04 02:00:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 405,889 km.
2023-03-07 20:40:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada 20:40.
2023-03-15 10:08:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 10:08.
2023-03-19 23:12:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi iaitu pada jarak 362,696 km.
2023-03-21 05:25:00,Ekuinoks Bulan Mac,Matahari berada di atas garisan Khatulistiwa dan akan terbit tepat di timur dan terbenam tepat di barat. Di Hemisfera Utara, ekuinoks pada bulan Mac dikenali sebagai ekuinoks musim bunga manakala di Hemisfera Selatan ia dikenali sebagai ekuinoks musim luruh.
2023-03-22 01:23:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada 01:23.
2023-03-24 19:50:00,Konjungsi Bulan dan Zuhrah,Bulan dan Zuhrah akan kelihatan menghampiri antara satu sama lain di langit dengan jarak sudut kelihatan Bulan dan Zuhrah dari Bumi adalah sejauh 0.03 darjah (2 arka minit) di langit barat.
2023-03-29 10:32:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada 10:32.
2023-03-31 19:16:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 404,919 km.
2023-04-06 12:34:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada 12:34.
2023-04-11 19:00:00,Utarid Pada Elongasi Paling Timur,Utarid pada elongasi paling timur iaitu pada 19.5 darjah, Utarid boleh kelihatan di langit barat selepas Matahari terbenam.
2023-04-13 17:11:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 17:11.
2023-04-16 10:23:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi iaitu pada 367,968 km.
2023-04-20 11:05:00,Gerhana Bulan Separa,Gerhana Matahari Hibrid berlaku di Australia, Timor-Leste dan Indonesia (Papua). Di Malaysia, kita hanya dapat menyaksikan Gerhana Matahari Separa yang berlaku mulai jam 11:05 dan berakhir pada 12:47 waktu Malaysia (Lokasi: Kuala Lumpur) dengan magnitud gerhana sebanyak 0.173 ketika fasa maksimum pada jam 11:55. *Waktu dan magnitud gerhana adalah berbeza mengikut lokasi.
2023-04-20 12:12:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada 12:12.
2023-04-23 00:00:00,Hujan Meteor Lyrids,Hujan Meteor Lyrids boleh dilihat mulai 16 hingga 25 April setiap tahun. Kemuncak Hujan Meteor Lyrids dijangka berlaku pada awal pagi 23 April 2023 dengan purata 18 meteor per jam. Kenampakan hujan meteor tersebut adalah bagus kerana tiada gangguan cahaya Bulan semasa kemuncak berlaku.
2023-04-28 05:19:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada 05:19.
2023-04-28 14:43:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 404,299 km.
2023-05-06 01:23:00,Gerhana Bulan Penumbra,Gerhana Bulan Penumbra berlaku mulai jam 23.14 pada 5 Mei 2023 dan berakhir pada jam 03:31 waktu Malaysia pada 6 Mei 2023 dan dapat dilihat di Afrika, Asia (termasuk Malaysia) dan Australia.
2023-05-06 00:00:00,Fasa-fasa Gerhana Bulan Penumbra,Penumbral bermula: 23:14, Maksimum: 01:23, Penumbral berakhir: 03:31
2023-05-06 01:34:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada 01:34.
2023-05-07 04:00:00,Hujan Meteor Eta Aquarids,Hujan Meteor Eta Aquarids boleh dilihat mulai 19 April sehingga 28 Mei setiap tahun. Kemuncak Hujan Meteor Eta Aquarids dijangka berlaku pada awal pagi 7 Mei 2023, dengan purata 20 meteor per jam. Kenampakan hujan meteor tersebut adalah kurang bagus kerana terdapat gangguan Bulan Purnama semasa kemuncak berlaku.
2023-05-11 13:05:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi iaitu pada 369,343 km.
2023-05-12 22:28:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 22:28.
2023-05-19 23:53:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada 23:53.
2023-05-26 09:39:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 404,509 km.
2023-05-27 23:22:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada 23:22
2023-05-29 06:00:00,Utarid Pada Elongasi Paling Barat,Utarid pada elongasi Paling Barat iaitu 24.9 darjah, Utarid boleh kelihatan di langit timur sebelum Matahari terbit.
2023-06-04 11:41:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada 11:41.
2023-06-04 19:00:00,zuhrah Pada Elongasi Paling Timur,Zuhrah pada elongasi paling timur iaitu pada 45.4 darjah, Zuhrah boleh kelihatan di langit barat selepas Matahari terbenam.
2023-06-07 07:06:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi iaitu pada jarak 364,861 km.
2023-06-11 03:31:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 03:31.
2023-06-18 12:37:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada 12:37.
2023-06-21 22:57:00,Solstis Musim Panas,Matahari akan berada pada kedudukan paling jauh ke utara dari Garisan Khatulistiwa iaitu di atas Garisan Sartan (23.5º Utara) pada jam 22:58. Ia menandakan bermulanya musim panas di Hemisfera Utara dan musim sejuk di Hemisfera Selatan. Waktu siang menjadi lebih panjang dan waktu malam menjadi lebih pendek di Hemisfera Utara sementara waktu siang menjadi lebih pendek dan waktu malam menjadi lebih panjang di Hemisfera Selatan.
2023-06-23 02:30:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 405,385 km.
2023-06-26 15:49:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada 15:49.
2023-07-03 19:38:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada 19:38.
2023-07-05 06:24:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi iaitu pada 360,149 km.
2023-07-07 04:06:00,Bumi Pada Kedudukan Aphelion,Bumi berada pada kedudukan paling jauh dengan Matahari, iaitu sejauh 152,093,251 km.
2023-07-10 09:47:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 09:47.
2023-07-18 02:31:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada 02:31.
2023-07-20 14:56:00,Bulan Pada Apogee,Bulan berada pada kedudukan yang paling jauh dengan Bumi iaitu pada jarak 406,289 km.
2023-07-26 06:06:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada 06:06.
2023-07-29 00:00:00,Hujan Meteor Delta Aquariids,Hujan Meteor Delta Aquarids boleh dilihat mulai 12 Julai sehingga 23 Ogos setiap tahun. Kemuncak Hujan Meteor Delta Aquarids dijangka berlaku pada malam 29 Julai sehingga awal pagi 30 Julai dengan purata 20 meteor per jam. Kenampakan hujan meteor tersebut adalah kurang bagus kerana terdapat gangguan bulan hampir purnama semasa kemuncak berlaku.
2023-07-30 00:00:00,Hujan Meteor Delta Aquariids,Hujan Meteor Delta Aquarids boleh dilihat mulai 12 Julai sehingga 23 Ogos setiap tahun. Kemuncak Hujan Meteor Delta Aquarids dijangka berlaku pada malam 29 Julai sehingga awal pagi 30 Julai dengan purata 20 meteor per jam. Kenampakan hujan meteor tersebut adalah kurang bagus kerana terdapat gangguan bulan hampir purnama semasa kemuncak berlaku.
2023-08-02 02:31:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada 02:31. Supermoon pertama untuk tahun 2023 iaitu Bulan kelihatan lebih besar dan cerah berbanding Bulan Penuh yang lain.
2023-08-02 13:52:00,Bulan Pada Perigee,Bulan berada pada kedudukan yang paling dekat dengan Bumi iaitu pada 357,311 km.
2023-08-08 18:28:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada 18:28
2023-08-10 19:00:00,Utarid Pada Elongasi Paling Timur,Utarid pada elongasi paling timur iaitu 27.4 darjah. Utarid boleh kelihatan di langit barat selepas Matahari terbenam.
2023-08-13 00:00:00,Hujan Meteor Perseids ,Hujan Meteor Perseids boleh dilihat mulai 17 Julai sehingga 24 Ogos setiap tahun. Kemuncak Hujan Meteor Perseids dijangka akan berlaku pada malam 13 Ogos 2023 hingga awal pagi 14 Ogos 2023 dengan purata 60 meteor per jam. Kenampakan hujan meteor tersebut adalah bagus kerana Bulan berada dalam fasa Sabit Tua (5.4%) semasa kemuncak berlaku.
