date,division,index
2018-02-01,overall,122.2
2018-03-01,overall,121.8
2018-04-01,overall,121.6
2018-05-01,overall,121.8
2018-06-01,overall,120.7
2018-07-01,overall,120.9
2018-08-01,overall,121.1
2018-09-01,overall,121.2
2018-10-01,overall,121.5
2018-11-01,overall,121.7
2018-12-01,overall,121.9
2019-01-01,overall,121.6
2019-02-01,overall,121.8
2019-03-01,overall,121.9
2019-04-01,overall,121.8
2019-05-01,overall,122.0
2019-06-01,overall,122.1
2019-07-01,overall,122.2
2019-08-01,overall,122.5
2019-09-01,overall,122.5
2019-10-01,overall,122.5
2019-11-01,overall,122.7
2019-12-01,overall,122.9
2020-01-01,overall,123.1
2020-02-01,overall,123.1
2020-03-01,overall,121.9
2020-04-01,overall,118.8
2020-05-01,overall,119.1
2020-06-01,overall,120.2
2020-07-01,overall,120.8
2020-08-01,overall,120.9
2020-09-01,overall,120.8
2020-10-01,overall,120.9
2020-11-01,overall,120.7
2020-12-01,overall,121.4
2021-01-01,overall,122.7
2021-02-01,overall,123.1
2021-03-01,overall,123.5
2021-04-01,overall,123.6
2021-05-01,overall,123.6
2021-06-01,overall,123.7
2021-07-01,overall,123.0
2021-08-01,overall,123.1
2021-09-01,overall,123.4
2021-10-01,overall,124.3
2021-11-01,overall,124.7
2021-12-01,overall,125.3
2022-01-01,overall,125.8
2022-02-01,overall,126.0
2022-03-01,overall,126.2
2022-04-01,overall,126.4
2022-05-01,overall,127.2
2022-06-01,overall,127.9
2022-07-01,overall,128.3
2022-08-01,overall,128.6
2022-09-01,overall,128.8
2022-10-01,overall,129.1
2022-11-01,overall,129.6
2022-12-01,overall,129.8
2023-01-01,overall,130.2
2023-02-01,overall,130.7
2023-03-01,overall,130.8
2023-04-01,overall,130.7
2023-05-01,overall,131.2
2023-06-01,overall,131.3
2023-07-01,overall,131.4
2023-08-01,overall,131.6
2023-09-01,overall,131.7
2023-10-01,overall,131.7
2023-11-01,overall,131.8
2023-12-01,overall,132.0
2024-01-01,overall,132.3
2024-02-01,overall,132.9
2024-03-01,overall,133.0
2024-04-01,overall,133.1
2024-05-01,overall,133.5
2024-06-01,overall,133.7
2024-07-01,overall,133.7
2024-08-01,overall,133.8
2024-09-01,overall,133.8
2024-10-01,overall,133.9
2024-11-01,overall,133.9
2024-12-01,overall,134.1
2025-01-01,overall,134.2
2025-02-01,overall,134.7
2025-03-01,overall,134.7
2025-04-01,overall,134.7
2025-05-01,overall,134.9
2025-06-01,overall,135.0
2025-07-01,overall,134.8
2025-08-01,overall,135.0
2025-09-01,overall,135.3
2025-10-01,overall,135.2
2025-11-01,overall,135.2
2025-12-01,overall,135.6
2026-01-01,overall,135.8
2026-02-01,overall,136.2
2026-03-01,overall,136.3
2026-04-01,overall,136.4
2026-05-01,overall,136.7
2026-06-01,overall,136.7
2026-07-01,overall,136.9
2010-01-01,01,99.1
2010-02-01,01,99.0
2010-03-01,01,99.0
2010-04-01,01,99.0
2010-05-01,01,99.4
2010-06-01,01,99.9
2010-07-01,01,100.2
2010-08-01,01,100.5
2010-09-01,01,100.5
2010-10-01,01,100.6
2010-11-01,01,101.2
2010-12-01,01,101.5
2011-01-01,01,102.9
2011-02-01,01,103.9
2011-03-01,01,104.0
2011-04-01,01,104.2
2011-05-01,01,104.2
2011-06-01,01,104.9
2011-07-01,01,105.3
2011-08-01,01,105.2
2011-09-01,01,105.7
2011-10-01,01,106.5
2011-11-01,01,106.3
2011-12-01,01,106.8
2012-01-01,01,107.8
2012-02-01,01,106.8
2012-03-01,01,106.7
2012-04-01,01,106.3
2012-05-01,01,107.1
2012-06-01,01,107.8
2012-07-01,01,107.9
2012-08-01,01,108.0
2012-09-01,01,108.0
2012-10-01,01,108.5
2012-11-01,01,108.4
2012-12-01,01,108.8
2013-01-01,01,110.1
2013-02-01,01,110.4
2013-03-01,01,110.3
2013-04-01,01,110.4
2013-05-01,01,110.9
2013-06-01,01,111.3
2013-07-01,01,112.2
2013-08-01,01,111.9
2013-09-01,01,112.3
2013-10-01,01,112.4
2013-11-01,01,112.7
2013-12-01,01,113.8
2014-01-01,01,114.7
2014-02-01,01,114.6
2014-03-01,01,114.6
2014-04-01,01,114.4
2014-05-01,01,114.3
2014-06-01,01,115.0
2014-07-01,01,115.4
2014-08-01,01,115.4
2014-09-01,01,115.7
2014-10-01,01,115.4
2014-11-01,01,115.7
2014-12-01,01,116.2
2015-01-01,01,117.7
2015-02-01,01,117.4
2015-03-01,01,116.9
2015-04-01,01,117.7
2015-05-01,01,118.2
2015-06-01,01,118.7
2015-07-01,01,119.7
2015-08-01,01,120.3
2015-09-01,01,120.6
2015-10-01,01,120.7
2015-11-01,01,120.3
2015-12-01,01,121.4
2016-01-01,01,122.0
2016-02-01,01,122.9
2016-03-01,01,122.6
2016-04-01,01,122.6
2016-05-01,01,123.0
2016-06-01,01,123.6
2016-07-01,01,124.0
2016-08-01,01,124.3
2016-09-01,01,123.9
2016-10-01,01,123.3
2016-11-01,01,124.4
2016-12-01,01,125.4
2017-01-01,01,126.6
2017-02-01,01,127.9
2017-03-01,01,127.2
2017-04-01,01,127.1
2017-05-01,01,127.9
2017-06-01,01,128.4
2017-07-01,01,128.8
2017-08-01,01,129.4
2017-09-01,01,129.2
2017-10-01,01,128.7
2017-11-01,01,129.3
2017-12-01,01,130.3
2018-01-01,01,131.3
2018-02-01,01,131.3
2018-03-01,01,130.5
2018-04-01,01,130.0
2018-05-01,01,130.0
2018-06-01,01,129.2
2018-07-01,01,129.5
2018-08-01,01,129.6
2018-09-01,01,129.2
2018-10-01,01,129.9
2018-11-01,01,129.9
2018-12-01,01,130.5
2019-01-01,01,131.6
2019-02-01,01,131.7
2019-03-01,01,130.9
2019-04-01,01,130.5
2019-05-01,01,130.9
2019-06-01,01,131.1
2019-07-01,01,131.5
2019-08-01,01,131.8
2019-09-01,01,131.5
2019-10-01,01,131.5
2019-11-01,01,131.6
2019-12-01,01,132.2
2020-01-01,01,132.5
2020-02-01,01,132.6
2020-03-01,01,132.3
2020-04-01,01,132.0
2020-05-01,01,132.4
2020-06-01,01,133.1
2020-07-01,01,133.0
2020-08-01,01,133.2
2020-09-01,01,133.0
2020-10-01,01,133.2
2020-11-01,01,133.0
2020-12-01,01,133.8
2021-01-01,01,134.2
2021-02-01,01,134.2
2021-03-01,01,134.2
2021-04-01,01,134.7
2021-05-01,01,134.3
2021-06-01,01,134.8
2021-07-01,01,134.8
2021-08-01,01,134.9
2021-09-01,01,135.9
2021-10-01,01,136.2
2021-11-01,01,136.9
2021-12-01,01,138.5
2022-01-01,01,139.3
2022-02-01,01,139.5
2022-03-01,01,139.8
2022-04-01,01,140.2
2022-05-01,01,141.6
2022-06-01,01,143.1
2022-07-01,01,144.1
2022-08-01,01,144.4
2022-09-01,01,144.8
2022-10-01,01,145.4
2022-11-01,01,146.3
2022-12-01,01,147.0
2023-01-01,01,147.7
2023-02-01,01,148.5
2023-03-01,01,148.7
2023-04-01,01,148.3
2023-05-01,01,148.8
2023-06-01,01,148.9
2023-07-01,01,149.2
2023-08-01,01,149.3
2023-09-01,01,149.4
2023-10-01,01,149.5
2023-11-01,01,149.2
2023-12-01,01,149.8
2024-01-01,01,150.4
2024-02-01,01,150.5
2024-03-01,01,150.4
2024-04-01,01,150.4
2024-05-01,01,150.7
2024-06-01,01,151.3
2024-07-01,01,151.1
2024-08-01,01,151.0
2024-09-01,01,151.2
2024-10-01,01,151.7
2024-11-01,01,151.7
2024-12-01,01,152.6
2025-01-01,01,152.7
2025-02-01,01,153.0
2025-03-01,01,153.1
2025-04-01,01,152.9
2025-05-01,01,152.7
2025-06-01,01,152.9
2025-07-01,01,152.7
2025-08-01,01,152.7
2025-09-01,01,153.1
2025-10-01,01,153.3
2025-11-01,01,153.3
2025-12-01,01,154.3
2026-01-01,01,154.5
2026-02-01,01,154.4
2026-03-01,01,154.1
2026-04-01,01,153.8
2026-05-01,01,154.1
2026-06-01,01,154.5
2026-07-01,01,154.9
2010-01-01,02,98.3
2010-02-01,02,98.3
2010-03-01,02,98.3
2010-04-01,02,98.3
2010-05-01,02,98.3
2010-06-01,02,98.4
2010-07-01,02,98.4
2010-08-01,02,98.4
2010-09-01,02,98.5
2010-10-01,02,105.0
2010-11-01,02,105.0
2010-12-01,02,104.9
2011-01-01,02,104.9
2011-02-01,02,104.9
2011-03-01,02,104.9
2011-04-01,02,104.9
2011-05-01,02,104.9
2011-06-01,02,105.0
2011-07-01,02,105.0
2011-08-01,02,105.0
2011-09-01,02,105.0
2011-10-01,02,105.0
2011-11-01,02,105.0
2011-12-01,02,105.0
2012-01-01,02,105.0
2012-02-01,02,105.0
2012-03-01,02,105.0
2012-04-01,02,105.0
2012-05-01,02,105.0
2012-06-01,02,105.0
2012-07-01,02,105.0
2012-08-01,02,105.1
2012-09-01,02,105.1
2012-10-01,02,105.1
2012-11-01,02,107.0
2012-12-01,02,107.0
2013-01-01,02,107.1
2013-02-01,02,107.0
2013-03-01,02,107.1
2013-04-01,02,107.0
2013-05-01,02,107.0
2013-06-01,02,109.8
2013-07-01,02,109.7
2013-08-01,02,109.7
2013-09-01,02,110.2
2013-10-01,02,123.6
2013-11-01,02,123.5
2013-12-01,02,123.5
2014-01-01,02,123.6
2014-02-01,02,123.6
2014-03-01,02,123.6
2014-04-01,02,123.6
2014-05-01,02,123.6
2014-06-01,02,123.6
2014-07-01,02,123.7
2014-08-01,02,123.7
2014-09-01,02,128.0
2014-10-01,02,123.7
2014-11-01,02,137.5
2014-12-01,02,137.6
2015-01-01,02,137.6
2015-02-01,02,137.6
2015-03-01,02,137.6
2015-04-01,02,140.5
2015-05-01,02,138.1
2015-06-01,02,138.3
2015-07-01,02,140.9
2015-08-01,02,141.0
2015-09-01,02,141.0
2015-10-01,02,141.0
2015-11-01,02,167.6
2015-12-01,02,170.6
2016-01-01,02,170.6
2016-02-01,02,170.5
2016-03-01,02,170.5
2016-04-01,02,170.6
2016-05-01,02,170.8
2016-06-01,02,170.8
2016-07-01,02,170.8
2016-08-01,02,170.8
2016-09-01,02,170.9
2016-10-01,02,170.9
2016-11-01,02,170.9
2016-12-01,02,170.8
2017-01-01,02,170.8
2017-02-01,02,170.8
2017-03-01,02,170.9
2017-04-01,02,170.9
2017-05-01,02,170.9
2017-06-01,02,170.9
2017-07-01,02,170.8
2017-08-01,02,170.9
2017-09-01,02,170.9
2017-10-01,02,170.9
2017-11-01,02,170.9
2017-12-01,02,170.9
2018-01-01,02,170.9
2018-02-01,02,170.7
2018-03-01,02,170.8
2018-04-01,02,170.8
2018-05-01,02,170.8
2018-06-01,02,169.7
2018-07-01,02,169.6
2018-08-01,02,169.5
2018-09-01,02,169.5
2018-10-01,02,169.7
2018-11-01,02,173.2
2018-12-01,02,173.3
2019-01-01,02,173.3
2019-02-01,02,173.2
2019-03-01,02,173.3
2019-04-01,02,173.3
2019-05-01,02,173.4
2019-06-01,02,173.6
2019-07-01,02,173.7
2019-08-01,02,173.7
2019-09-01,02,173.7
2019-10-01,02,173.7
2019-11-01,02,173.7
2019-12-01,02,173.6
2020-01-01,02,173.5
2020-02-01,02,173.6
2020-03-01,02,173.7
2020-04-01,02,173.7
2020-05-01,02,173.7
2020-06-01,02,173.7
2020-07-01,02,173.8
2020-08-01,02,173.9
2020-09-01,02,174.0
2020-10-01,02,173.9
2020-11-01,02,174.0
2020-12-01,02,174.0
2021-01-01,02,174.0
2021-02-01,02,174.0
2021-03-01,02,174.1
2021-04-01,02,174.2
2021-05-01,02,174.2
2021-06-01,02,174.2
2021-07-01,02,174.2
2021-08-01,02,174.2
2021-09-01,02,174.2
2021-10-01,02,174.2
2021-11-01,02,174.3
2021-12-01,02,174.3
2022-01-01,02,174.3
2022-02-01,02,174.4
2022-03-01,02,174.5
2022-04-01,02,174.5
2022-05-01,02,174.5
2022-06-01,02,174.5
2022-07-01,02,174.6
2022-08-01,02,174.7
2022-09-01,02,174.7
2022-10-01,02,174.8
2022-11-01,02,175.0
2022-12-01,02,174.9
2023-01-01,02,175.0
2023-02-01,02,175.0
2023-03-01,02,175.1
2023-04-01,02,175.1
2023-05-01,02,175.1
2023-06-01,02,175.1
2023-07-01,02,175.2
2023-08-01,02,175.2
2023-09-01,02,175.8
2023-10-01,02,175.8
2023-11-01,02,175.8
2023-12-01,02,175.7
2024-01-01,02,175.6
2024-02-01,02,175.6
2024-03-01,02,175.8
2024-04-01,02,175.9
2024-05-01,02,176.2
2024-06-01,02,176.3
2024-07-01,02,176.6
2024-08-01,02,176.7
2024-09-01,02,176.8
2024-10-01,02,176.9
2024-11-01,02,176.9
2024-12-01,02,176.6
2025-01-01,02,176.6
2025-02-01,02,176.6
2025-03-01,02,176.6
2025-04-01,02,176.6
2025-05-01,02,176.7
2025-06-01,02,176.7
2025-07-01,02,176.9
2025-08-01,02,176.9
2025-09-01,02,176.9
2025-10-01,02,176.9
2025-11-01,02,181.5
2025-12-01,02,181.7
2026-01-01,02,181.7
2026-02-01,02,181.8
2026-03-01,02,182.0
2026-04-01,02,182.2
2026-05-01,02,182.2
2026-06-01,02,182.3
2026-07-01,02,182.3
2010-01-01,03,101.0
2010-02-01,03,100.1
2010-03-01,03,99.9
2010-04-01,03,100.4
2010-05-01,03,100.2
2010-06-01,03,99.5
2010-07-01,03,100.0
2010-08-01,03,99.3
2010-09-01,03,100.4
2010-10-01,03,100.3
2010-11-01,03,99.9
2010-12-01,03,99.0
2011-01-01,03,100.0
2011-02-01,03,100.1
2011-03-01,03,99.8
2011-04-01,03,99.9
2011-05-01,03,99.9
2011-06-01,03,100.0
2011-07-01,03,99.8
2011-08-01,03,99.5
2011-09-01,03,100.0
2011-10-01,03,99.8
2011-11-01,03,100.1
2011-12-01,03,99.8
2012-01-01,03,99.6
2012-02-01,03,100.0
2012-03-01,03,99.7
2012-04-01,03,99.8
2012-05-01,03,99.7
2012-06-01,03,99.5
2012-07-01,03,99.4
2012-08-01,03,98.9
2012-09-01,03,99.4
2012-10-01,03,99.3
2012-11-01,03,99.3
2012-12-01,03,98.9
2013-01-01,03,99.3
2013-02-01,03,98.9
2013-03-01,03,99.3
2013-04-01,03,99.2
2013-05-01,03,99.1
2013-06-01,03,99.0
2013-07-01,03,98.7
2013-08-01,03,98.7
2013-09-01,03,99.1
2013-10-01,03,99.0
2013-11-01,03,99.1
2013-12-01,03,98.7
2014-01-01,03,99.1
2014-02-01,03,99.3
2014-03-01,03,99.3
2014-04-01,03,99.2
2014-05-01,03,99.1
2014-06-01,03,99.0
2014-07-01,03,98.5
2014-08-01,03,98.6
2014-09-01,03,98.8
2014-10-01,03,98.7
2014-11-01,03,98.8
2014-12-01,03,98.5
2015-01-01,03,99.1
2015-02-01,03,98.8
2015-03-01,03,99.1
2015-04-01,03,99.9
2015-05-01,03,100.0
2015-06-01,03,99.8
2015-07-01,03,99.6
2015-08-01,03,99.5
2015-09-01,03,99.7
2015-10-01,03,99.6
2015-11-01,03,99.6
2015-12-01,03,99.5
2016-01-01,03,99.7
2016-02-01,03,99.5
2016-03-01,03,99.4
2016-04-01,03,99.5
2016-05-01,03,99.3
2016-06-01,03,99.3
2016-07-01,03,99.2
2016-08-01,03,99.0
2016-09-01,03,99.2
2016-10-01,03,99.2
2016-11-01,03,99.1
2016-12-01,03,99.0
2017-01-01,03,99.1
2017-02-01,03,99.2
2017-03-01,03,99.1
2017-04-01,03,99.3
2017-05-01,03,99.1
2017-06-01,03,99.0
2017-07-01,03,98.8
2017-08-01,03,98.6
2017-09-01,03,98.9
2017-10-01,03,98.8
2017-11-01,03,98.7
2017-12-01,03,98.6
2018-01-01,03,98.8
2018-02-01,03,98.6
2018-03-01,03,98.5
2018-04-01,03,98.6
2018-05-01,03,98.5
2018-06-01,03,96.2
2018-07-01,03,96.0
2018-08-01,03,96.1
2018-09-01,03,96.0
2018-10-01,03,95.9
2018-11-01,03,95.8
2018-12-01,03,95.7
2019-01-01,03,95.8
2019-02-01,03,95.6
2019-03-01,03,95.7
2019-04-01,03,95.7
2019-05-01,03,95.5
2019-06-01,03,95.4
2019-07-01,03,95.1
2019-08-01,03,95.1
2019-09-01,03,95.1
2019-10-01,03,94.9
2019-11-01,03,94.9
2019-12-01,03,94.8
2020-01-01,03,94.7
2020-02-01,03,94.7
2020-03-01,03,94.7
2020-04-01,03,94.7
2020-05-01,03,94.7
2020-06-01,03,94.6
2020-07-01,03,94.6
2020-08-01,03,94.6
2020-09-01,03,94.5
2020-10-01,03,94.5
2020-11-01,03,94.5
2020-12-01,03,94.4
2021-01-01,03,94.4
2021-02-01,03,94.4
2021-03-01,03,94.4
2021-04-01,03,94.3
2021-05-01,03,94.2
2021-06-01,03,94.2
2021-07-01,03,94.2
2021-08-01,03,94.2
2021-09-01,03,94.2
2021-10-01,03,94.1
2021-11-01,03,94.1
2021-12-01,03,94.1
2022-01-01,03,94.2
2022-02-01,03,94.2
2022-03-01,03,94.2
2022-04-01,03,94.2
2022-05-01,03,94.3
2022-06-01,03,94.4
2022-07-01,03,94.5
2022-08-01,03,94.6
2022-09-01,03,94.6
2022-10-01,03,94.6
2022-11-01,03,94.6
2022-12-01,03,94.6
2023-01-01,03,94.7
2023-02-01,03,94.8
2023-03-01,03,94.8
2023-04-01,03,94.7
2023-05-01,03,94.7
2023-06-01,03,94.7
2023-07-01,03,94.7
2023-08-01,03,94.7
2023-09-01,03,94.7
2023-10-01,03,94.7
2023-11-01,03,94.7
2023-12-01,03,94.7
2024-01-01,03,94.7
2024-02-01,03,94.6
2024-03-01,03,94.7
2024-04-01,03,94.6
2024-05-01,03,94.7
2024-06-01,03,94.7
2024-07-01,03,94.7
2024-08-01,03,94.6
2024-09-01,03,94.6
2024-10-01,03,94.5
2024-11-01,03,94.4
2024-12-01,03,94.2
2025-01-01,03,94.3
2025-02-01,03,94.3
2025-03-01,03,94.3
2025-04-01,03,94.3
2025-05-01,03,94.3
2025-06-01,03,94.3
2025-07-01,03,94.3
2025-08-01,03,94.2
2025-09-01,03,94.1
2025-10-01,03,94.0
2025-11-01,03,94.1
2025-12-01,03,94.0
2026-01-01,03,94.1
2026-02-01,03,94.1
2026-03-01,03,94.0
2026-04-01,03,94.0
2026-05-01,03,94.0
2026-06-01,03,94.0
2026-07-01,03,94.1
2010-01-01,04,99.3
2010-02-01,04,99.5
2010-03-01,04,99.5
2010-04-01,04,99.5
2010-05-01,04,99.8
2010-06-01,04,99.8
2010-07-01,04,99.9
2010-08-01,04,100.3
2010-09-01,04,100.3
2010-10-01,04,100.4
2010-11-01,04,100.7
2010-12-01,04,100.8
2011-01-01,04,100.8
2011-02-01,04,101.2
2011-03-01,04,101.2
2011-04-01,04,101.2
2011-05-01,04,101.6
2011-06-01,04,101.7
2011-07-01,04,101.8
2011-08-01,04,102.2
2011-09-01,04,102.3
2011-10-01,04,102.3
2011-11-01,04,102.5
2011-12-01,04,102.5
2012-01-01,04,102.5
2012-02-01,04,102.9
2012-03-01,04,102.9
2012-04-01,04,102.9
2012-05-01,04,103.2
2012-06-01,04,103.2
2012-07-01,04,103.2
2012-08-01,04,103.7
2012-09-01,04,103.7
2012-10-01,04,103.7
2012-11-01,04,103.9
2012-12-01,04,103.9
2013-01-01,04,103.9
2013-02-01,04,104.2
2013-03-01,04,104.2
2013-04-01,04,104.2
2013-05-01,04,105.1
2013-06-01,04,105.1
2013-07-01,04,105.1
2013-08-01,04,105.5
2013-09-01,04,105.5
2013-10-01,04,105.5
2013-11-01,04,106.1
2013-12-01,04,106.2
2014-01-01,04,107.0
2014-02-01,04,107.8
2014-03-01,04,107.8
2014-04-01,04,107.8
2014-05-01,04,108.3
2014-06-01,04,108.3
2014-07-01,04,108.3
2014-08-01,04,108.9
2014-09-01,04,108.9
2014-10-01,04,108.9
2014-11-01,04,109.6
2014-12-01,04,109.6
2015-01-01,04,109.1
2015-02-01,04,110.0
2015-03-01,04,109.6
2015-04-01,04,110.0
2015-05-01,04,110.8
2015-06-01,04,110.8
2015-07-01,04,110.8
2015-08-01,04,111.6
2015-09-01,04,111.6
2015-10-01,04,111.6
2015-11-01,04,112.1
2015-12-01,04,112.1
2016-01-01,04,112.3
2016-02-01,04,112.8
2016-03-01,04,112.8
2016-04-01,04,112.8
2016-05-01,04,113.2
2016-06-01,04,113.2
2016-07-01,04,113.2
2016-08-01,04,113.8
2016-09-01,04,113.8
2016-10-01,04,113.8
2016-11-01,04,114.3
2016-12-01,04,114.3
2017-01-01,04,114.3
2017-02-01,04,114.9
2017-03-01,04,114.9
2017-04-01,04,115.0
2017-05-01,04,115.3
2017-06-01,04,115.3
2017-07-01,04,115.3
2017-08-01,04,115.8
2017-09-01,04,115.8
2017-10-01,04,115.8
2017-11-01,04,116.1
2017-12-01,04,116.1
2018-01-01,04,116.1
2018-02-01,04,116.6
2018-03-01,04,116.6
2018-04-01,04,116.6
2018-05-01,04,117.2
2018-06-01,04,116.7
2018-07-01,04,117.2
2018-08-01,04,117.7
2018-09-01,04,117.9
2018-10-01,04,117.9
2018-11-01,04,118.3
2018-12-01,04,118.3
2019-01-01,04,118.3
2019-02-01,04,118.8
2019-03-01,04,118.8
2019-04-01,04,118.8
2019-05-01,04,119.1
2019-06-01,04,119.1
2019-07-01,04,119.1
2019-08-01,04,119.6
2019-09-01,04,119.6
2019-10-01,04,119.6
2019-11-01,04,119.9
2019-12-01,04,119.9
2020-01-01,04,119.9
2020-02-01,04,120.3
2020-03-01,04,120.3
2020-04-01,04,115.9
2020-05-01,04,115.9
2020-06-01,04,115.9
2020-07-01,04,115.9
2020-08-01,04,116.0
2020-09-01,04,116.0
2020-10-01,04,116.0
2020-11-01,04,116.1
2020-12-01,04,116.1
2021-01-01,04,118.7
2021-02-01,04,118.9
2021-03-01,04,118.9
2021-04-01,04,118.9
2021-05-01,04,119.0
2021-06-01,04,119.0
2021-07-01,04,116.3
2021-08-01,04,116.3
2021-09-01,04,116.3
2021-10-01,04,119.1
2021-11-01,04,119.3
2021-12-01,04,119.3
2022-01-01,04,119.3
2022-02-01,04,119.6
2022-03-01,04,119.6
2022-04-01,04,119.6
2022-05-01,04,120.1
2022-06-01,04,120.1
2022-07-01,04,120.1
2022-08-01,04,120.6
2022-09-01,04,120.6
2022-10-01,04,120.6
2022-11-01,04,120.9
2022-12-01,04,120.9
2023-01-01,04,120.9
2023-02-01,04,121.6
2023-03-01,04,121.6
2023-04-01,04,121.6
2023-05-01,04,122.6
2023-06-01,04,122.6
2023-07-01,04,122.6
2023-08-01,04,123.0
2023-09-01,04,123.0
2023-10-01,04,123.0
2023-11-01,04,123.4
2023-12-01,04,123.4
2024-01-01,04,123.6
2024-02-01,04,125.1
2024-03-01,04,125.7
2024-04-01,04,125.7
2024-05-01,04,126.5
2024-06-01,04,126.5
2024-07-01,04,126.5
2024-08-01,04,126.6
2024-09-01,04,126.7
2024-10-01,04,126.7
2024-11-01,04,126.8
2024-12-01,04,126.8
2025-01-01,04,126.9
2025-02-01,04,127.6
2025-03-01,04,127.6
2025-04-01,04,127.6
2025-05-01,04,128.2
2025-06-01,04,128.2
2025-07-01,04,127.7
2025-08-01,04,128.0
2025-09-01,04,128.4
2025-10-01,04,127.8
2025-11-01,04,127.8
2025-12-01,04,128.1
2026-01-01,04,128.3
2026-02-01,04,129.5
2026-03-01,04,129.6
2026-04-01,04,129.3
2026-05-01,04,129.9
2026-06-01,04,130.0
2026-07-01,04,130.1
2010-01-01,05,100.1
2010-02-01,05,100.1
2010-03-01,05,100.1
2010-04-01,05,100.1
2010-05-01,05,100.0
2010-06-01,05,99.9
2010-07-01,05,100.0
2010-08-01,05,99.8
2010-09-01,05,100.0
2010-10-01,05,100.0
2010-11-01,05,100.0
2010-12-01,05,99.9
2011-01-01,05,100.2
2011-02-01,05,100.2
2011-03-01,05,100.3
2011-04-01,05,100.4
2011-05-01,05,100.6
2011-06-01,05,100.8
2011-07-01,05,101.2
2011-08-01,05,101.2
2011-09-01,05,101.3
2011-10-01,05,101.4
2011-11-01,05,101.5
2011-12-01,05,101.6
2012-01-01,05,101.9
2012-02-01,05,102.4
2012-03-01,05,102.6
2012-04-01,05,102.7
2012-05-01,05,102.8
2012-06-01,05,102.8
2012-07-01,05,102.8
2012-08-01,05,102.9
2012-09-01,05,103.0
2012-10-01,05,102.9
2012-11-01,05,102.9
2012-12-01,05,102.9
2013-01-01,05,103.2
2013-02-01,05,103.0
2013-03-01,05,103.4
2013-04-01,05,103.6
2013-05-01,05,103.5
2013-06-01,05,103.7
2013-07-01,05,103.6
2013-08-01,05,103.6
2013-09-01,05,103.9
2013-10-01,05,103.8
2013-11-01,05,104.0
2013-12-01,05,103.9
2014-01-01,05,104.3
2014-02-01,05,104.5
2014-03-01,05,104.6
2014-04-01,05,104.5
2014-05-01,05,104.5
2014-06-01,05,104.6
2014-07-01,05,104.2
2014-08-01,05,104.6
2014-09-01,05,104.6
2014-10-01,05,104.5
2014-11-01,05,104.6
2014-12-01,05,104.2
2015-01-01,05,104.6
2015-02-01,05,104.3
2015-03-01,05,104.5
2015-04-01,05,107.4
2015-05-01,05,107.7
